epoch,train_loss,test_loss,auc,f1,accuracy,precision,recall
1,0.6961342274337641,0.6588854329222549,0.6243948039410362,0.34184483811850946,0.5650032299741602,0.8694841516469857,0.2127433090024331
2,0.5857926282136047,0.565149304016616,0.803236595173701,0.5119378123264853,0.6451065891472868,0.9489501852614245,0.35051703163017034
3,0.5290188556071681,0.49998773946318514,0.8285226602454538,0.6245421245421245,0.7020348837209303,0.9437269372693727,0.4666970802919708
4,0.5025676261855725,0.49743692488325353,0.8571997162442273,0.6561576354679803,0.7181847545219638,0.9317291550083939,0.5063868613138686
5,0.4568555449070302,0.4518605020927212,0.8638214872053314,0.7224292101341282,0.7593669250645995,0.9322115384615385,0.5897201946472019
6,0.4264339302841852,0.400045008930433,0.8983016257674623,0.819358913627033,0.8152454780361758,0.8520525451559934,0.789081508515815
7,0.38015230552378554,0.3538319180486122,0.9200347347898359,0.839344262295082,0.8338178294573644,0.8623676612127045,0.8175182481751825
8,0.3568927415124874,0.34205462681538684,0.9269945876524033,0.8517383979169858,0.8436692506459949,0.8579142240049368,0.8456508515815085
9,0.3363990703705927,0.35244900373217364,0.9319981867027943,0.8503098796937659,0.8342215762273901,0.8167810617733576,0.8867092457420924
10,0.3220860191558821,0.3212958559663413,0.9392479325228059,0.84882269739579,0.8532784237726099,0.937167003490722,0.7756995133819952
11,0.30463562254936216,0.3042865552643473,0.9453764508262786,0.8674462343609453,0.8691052971576227,0.9382628692729524,0.8065693430656934
12,0.3015311653887971,0.2865234762815234,0.9489109743754736,0.8810339458112737,0.8766149870801033,0.902680280791321,0.8604014598540146
13,0.28543694315265106,0.29567436142331255,0.9506299359303052,0.8838974047655183,0.876453488372093,0.8821569221448046,0.8856447688564477
14,0.271148440694447,0.25656151586724807,0.9594758341544175,0.8991394681758276,0.8949450904392765,0.9171279455954452,0.8818430656934306
15,0.26200106590062694,0.25119492053523546,0.9611810891554898,0.9001555209953344,0.8963178294573644,0.9210693825588797,0.8801703163017032
16,0.2504093467219354,0.3225317893872273,0.9367177969559564,0.8780756229856144,0.8747577519379846,0.9088689991863304,0.8493004866180048
17,0.24733717630770763,0.24243395808285212,0.9640968148220762,0.9053554939981533,0.9006782945736435,0.9163551401869159,0.8946167883211679
18,0.23467157085026627,0.23302454957666324,0.9671390937409932,0.9077903902969989,0.9042312661498708,0.9287305122494433,0.8877737226277372
19,0.22840924635630297,0.23246384202201853,0.967823740683209,0.9075590551181102,0.9052002583979328,0.9410516002612671,0.8763686131386861
20,0.22814033756104146,0.22867455589524843,0.9681050457712493,0.9074566202907612,0.9043927648578811,0.9335799292376971,0.8827554744525548
