epoch,train_loss,test_loss,auc,f1,accuracy,precision,recall
1,0.589205614332453,2.0493858882359097,0.6675222450888889,0.4023090819275441,0.5825716666666667,0.7080921699246479,0.28097333333333335
2,0.5380675535356633,2.3947187017421334,0.7223621391388889,0.24468799687104098,0.555835,0.8170461643291125,0.14389
3,0.5218569347475983,2.2865519274254233,0.6392285775833333,0.3069911196003685,0.5724816666666667,0.8100112630273306,0.18938333333333332
4,0.5113537784525966,1.9371934520954988,0.7687774045444444,0.4474355128974205,0.63155,0.8943345323741008,0.29835
5,0.5005113598429709,2.550828785312419,0.64686106605,0.22957774298170536,0.5514383333333334,0.8127774287046233,0.13366666666666666
6,0.4954015212864599,2.2234626503623263,0.7350564024111109,0.28912023936930226,0.5771,0.9062313393515754,0.17199666666666666
7,0.49046600882103825,2.1272393410303154,0.722343230061111,0.40646888482669724,0.6109116666666666,0.8565183383514234,0.26646
8,0.4798358090908454,1.857704803651693,0.7721311253388888,0.53719176966814,0.663695,0.8610998772031736,0.3903566666666667
9,0.4739844454229895,1.8697741068139369,0.6785789724444445,0.5939370528422458,0.5935316666666667,0.5933452872431378,0.59453
10,0.46882286342337676,1.9625813261586793,0.7810547263444444,0.7156732959400484,0.6284333333333333,0.579591322418188,0.9352633333333333
11,0.46411815316197,1.813895696279954,0.7905131833166666,0.7093149677992734,0.6216816666666667,0.5759113963271731,0.9231533333333334
12,0.46023752695464437,2.5893576315471103,0.7319713045277777,0.28285642350468515,0.56325,0.7901021281800391,0.17226333333333332
13,0.45520478639586387,2.349332174476312,0.7303354799222223,0.4635465215467045,0.6383883333333333,0.8974886784685056,0.31246666666666667
14,0.4493312696344616,1.895213815022488,0.8030971199833332,0.5186857145527533,0.6566833333333333,0.867301170550268,0.3699733333333333
15,0.44505629553729764,2.1014493089549395,0.7723597823277778,0.4264088066608755,0.6236266666666667,0.8958079870226889,0.2797966666666667
16,0.4426048518040888,1.7457810263244473,0.7911457673444444,0.7162165581514277,0.6448483333333334,0.5963743060992297,0.8963366666666667
17,0.43872617953059617,2.1139329969882965,0.738327254361111,0.5199133253044542,0.6558466666666667,0.8593310481577694,0.37270333333333333
18,0.43801633967881315,2.711285780279004,0.7303902512722222,0.3412249654696133,0.593,0.8946921684019918,0.21081333333333332
19,0.4321649899458316,2.850004423029569,0.7167671278722222,0.3789292423293676,0.60326,0.8719740634005764,0.24206
20,0.42777521567539956,2.0806838833555883,0.7620103157,0.4401373604623545,0.6228466666666667,0.8537123771498771,0.2965
