epoch,train_loss,test_loss,auc,f1,accuracy,precision,recall
1,0.24819793714253188,0.29155803215182163,0.9652122269,0.8980340255552615,0.894065,0.8656028204295588,0.93299
2,0.17264084073288288,0.2138248844104662,0.9782852824,0.9223522083584762,0.92022,0.8983430023129716,0.94768
3,0.14277917087166395,0.18267883980418942,0.98308955005,0.9347232636897848,0.933405,0.9165793596632033,0.9536
4,0.12586829573758557,0.16476212928448397,0.9858765742,0.9412077418338617,0.94028,0.9268098801814727,0.95606
5,0.11454024703042004,0.15180687757329586,0.9877781658,0.9458161154474676,0.945125,0.9340523251845423,0.95788
6,0.10625362605642553,0.1430048909391474,0.98899141265,0.9489261937500618,0.94837,0.938812660259547,0.95926
7,0.0996945510112181,0.1361532865793819,0.98990700005,0.9513884759469584,0.95095,0.9429590192919728,0.95997
8,0.09392134737585135,0.13075256607096442,0.99054279815,0.9535083409024355,0.953165,0.9465691733102082,0.96055
9,0.08918254792284429,0.1264566486139419,0.99103743065,0.9552241772548162,0.954945,0.9493417088901399,0.96118
10,0.08515371947311953,0.12270123061023552,0.99147118445,0.9566484481069442,0.956415,0.9515517872513035,0.9618
11,0.0813955320792833,0.11978223219795771,0.99175854075,0.9578071668109582,0.9576,0.9531500663484581,0.96251
12,0.07778684740700627,0.11660375831764713,0.99211551505,0.9589654760482619,0.95878,0.9546697851423135,0.9633
13,0.07487271801743081,0.1140392898683175,0.99239650925,0.9598314774606084,0.95967,0.9560037300107138,0.96369
14,0.07217726963630554,0.11200198634378215,0.99259929465,0.960578762755102,0.96044,0.9572211630123928,0.96396
15,0.06953603176892682,0.11008235406734251,0.99273470505,0.9614374099499957,0.961325,0.9586510642951592,0.96424
16,0.06712326257138485,0.10833631550360771,0.99289598985,0.9621879332528751,0.96209,0.9597087088879603,0.96468
17,0.06486738131336031,0.10647950327511768,0.99309288145,0.9627674437170685,0.96269,0.9607731835564054,0.96477
18,0.06264244975257102,0.10485071198983392,0.99325101205,0.9636241108199176,0.963565,0.962063294293546,0.96519
19,0.0608042032416952,0.10363500610957958,0.99334769215,0.9641243290475596,0.964075,0.962802293692346,0.96545
20,0.05887228203628817,0.10214479599764961,0.99348634285,0.9645419122789489,0.96451,0.9636753843082452,0.96541
